id,dbn,name,num_test_takers,reading_avg,math_avg,writing_score
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29.0,355.0,404.0,363.0
1,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91.0,383.0,423.0,366.0
2,01M450,EAST SIDE COMMUNITY SCHOOL,70.0,377.0,402.0,370.0
3,01M458,FORSYTH SATELLITE ACADEMY,7.0,414.0,401.0,359.0
4,01M509,MARTA VALLE HIGH SCHOOL,44.0,390.0,433.0,384.0
5,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112.0,332.0,557.0,316.0
6,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159.0,522.0,574.0,525.0
7,01M650,CASCADES HIGH SCHOOL,18.0,417.0,418.0,411.0
8,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130.0,624.0,604.0,628.0
9,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16.0,395.0,400.0,387.0
10,02M288,FOOD AND FINANCE HIGH SCHOOL,62.0,409.0,393.0,392.0
11,02M294,ESSEX STREET ACADEMY,53.0,394.0,384.0,378.0
12,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.0,374.0,375.0,362.0
13,02M298,PACE HIGH SCHOOL,85.0,423.0,438.0,432.0
14,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48.0,404.0,449.0,416.0
15,02M303,"FACING HISTORY SCHOOL, THE",76.0,353.0,358.0,340.0
16,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50.0,375.0,388.0,385.0
17,02M308,LOWER MANHATTAN ARTS ACADEMY,40.0,403.0,392.0,405.0
18,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69.0,408.0,390.0,390.0
19,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42.0,373.0,370.0,384.0
20,02M374,GRAMERCY ARTS HIGH SCHOOL,60.0,391.0,391.0,394.0
21,02M376,NYC ISCHOOL,92.0,473.0,483.0,479.0
22,02M392,MANHATTAN BUSINESS ACADEMY,,,,
23,02M393,BUSINESS OF SPORTS SCHOOL,,,,
24,02M394,EMMA LAZARUS HIGH SCHOOL,79.0,319.0,512.0,357.0
25,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,,,
26,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263.0,465.0,493.0,461.0
27,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54.0,492.0,465.0,467.0
28,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94.0,509.0,490.0,523.0
29,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104.0,496.0,563.0,518.0
30,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114.0,537.0,590.0,550.0
31,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66.0,517.0,533.0,515.0
32,02M414,N.Y.C. MUSEUM SCHOOL,103.0,468.0,492.0,459.0
33,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127.0,572.0,594.0,592.0
34,02M418,MILLENNIUM HIGH SCHOOL,144.0,528.0,553.0,533.0
35,02M419,LANDMARK HIGH SCHOOL,62.0,390.0,399.0,381.0
36,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336.0,429.0,449.0,428.0
37,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84.0,416.0,426.0,391.0
38,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,,,,
39,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29.0,356.0,357.0,349.0
40,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,,,,
41,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,,,,
42,02M439,MANHATTAN VILLAGE ACADEMY,95.0,441.0,473.0,458.0
43,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59.0,378.0,365.0,368.0
44,02M449,VANGUARD HIGH SCHOOL,72.0,395.0,416.0,388.0
45,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49.0,376.0,460.0,391.0
46,02M460,WASHINGTON IRVING HIGH SCHOOL,151.0,373.0,387.0,360.0
47,02M473,WASHINGTON IRVING YABC,,,,
48,02M475,STUYVESANT HIGH SCHOOL,832.0,679.0,735.0,682.0
49,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167.0,443.0,489.0,442.0
50,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25.0,370.0,349.0,351.0
51,02M519,TALENT UNLIMITED HIGH SCHOOL,81.0,469.0,472.0,475.0
52,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264.0,407.0,440.0,393.0
53,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131.0,414.0,425.0,400.0
54,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42.0,429.0,404.0,420.0
55,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66.0,336.0,378.0,344.0
56,02M543,NEW DESIGN HIGH SCHOOL,73.0,391.0,395.0,382.0
57,02M544,INDEPENDENCE HIGH SCHOOL,14.0,389.0,371.0,335.0
58,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78.0,412.0,581.0,431.0
59,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26.0,368.0,436.0,352.0
60,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77.0,405.0,423.0,384.0
