id,name,host_id,location_id,number_of_reviews,occupancy,price,room_type,host_listings_count
1,Clean & quiet apt home by the park,2787,0,9,0,149,Private room,6
2,Skylit Midtown Castle,2845,1,45,10,225,Entire home/apt,2
3,THE VILLAGE OF HARLEM....NEW YORK !,4632,2,0,0,150,Private room,1
4,Cozy Entire Floor of Brownstone,4869,3,270,171,89,Entire home/apt,1
5,Entire Apt: Spacious Studio/Loft by central park,7192,4,9,365,80,Entire home/apt,1
6,Large Cozy 1 BR Apartment In Midtown East,7322,5,74,236,200,Entire home/apt,1
7,BlissArtsSpace!,7356,6,49,365,60,Private room,1
8,Large Furnished Room Near B'way ,8967,7,430,145,79,Private room,1
9,Cozy Clean Guest Room - Family Apt,7490,8,118,365,79,Private room,1
10,Cute & Cozy Lower East Side 1 bdrm,7549,9,160,177,150,Entire home/apt,4
11,Beautiful 1br on Upper West Side,7702,10,53,359,135,Entire home/apt,1
12,Central Manhattan/near Broadway,7989,11,188,326,85,Private room,1
13,"Lovely Room 1, Garden, Best Area, Legal rental",9744,12,167,51,89,Private room,3
14,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,13,113,32,85,Private room,1
15,West Village Nest - Superhost,11975,14,27,365,120,Entire home/apt,1
16,Only 2 stops to Manhattan studio,15991,15,148,319,140,Entire home/apt,1
17,Perfect for Your Parents + Garden,17571,16,198,44,215,Entire home/apt,1
18,Chelsea Perfect,18946,17,260,353,140,Private room,1
19,Hip Historic Brownstone Apartment with Backyard,20950,18,53,344,99,Entire home/apt,1
20,Huge 2 BR Upper East  Cental Park,17985,19,0,116,190,Entire home/apt,2
21,Sweet and Spacious Brooklyn Loft,21207,20,9,365,299,Entire home/apt,1
22,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,21,130,18,130,Private room,6
23,CBG Helps Haiti Room#2.5,22486,22,39,1,80,Private room,6
24,CBG Helps Haiti Rm #2,22486,23,71,61,110,Private room,6
25,"MAISON DES SIRENES1,bohemian apartment",25183,24,88,132,120,Entire home/apt,2
26,Sunny Bedroom Across Prospect Park,25326,25,19,280,60,Private room,2
27,Magnifique Suite au N de Manhattan - vue Cloitres,26394,26,0,365,80,Private room,1
28,Midtown Pied-a-terre,30193,27,58,290,150,Entire home/apt,1
29,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,28,108,54,44,Private room,3
30,Modern 1 BR / NYC / EAST VILLAGE,21904,29,29,298,180,Entire home/apt,1
31,front room/double bed,32294,30,242,10,50,Private room,3
32,Spacious 1 bedroom in luxe building,32045,31,88,110,52,Private room,1
33,Loft in Williamsburg Area w/ Roof,32169,32,197,81,55,Private room,3
34,back room/bunk beds,32294,33,273,6,50,Private room,3
35,Large B&B Style rooms,35935,34,74,96,70,Private room,2
36,"Lovely room 2 & garden; Best area, Legal rental",9744,35,168,25,89,Private room,3
37,Clean and Quiet in Brooklyn,7355,36,0,0,35,Private room,1
38,Cute apt in artist's home,44145,37,231,343,85,Entire home/apt,2
39,Country space in the city,45445,38,0,0,150,Private room,1
40,LowerEastSide apt share shortterm 1,7549,39,214,177,40,Shared room,4
41,ENJOY Downtown NYC!,46978,40,245,269,68,Private room,2
42,Beautiful Sunny Park Slope Brooklyn,47610,41,15,20,120,Entire home/apt,1
43,1bdr w private bath. in lofty apt,47618,42,25,54,120,Private room,1
44,West Side Retreat,16800,43,81,92,135,Private room,1
45,BEST BET IN HARLEM,47727,44,97,56,150,Entire home/apt,1
46,Entire apartment in central Brooklyn neighborhood.,49670,45,11,270,150,Entire home/apt,1
47,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,46,248,150,130,Private room,1
48,Charming Brownstone 3 - Near PRATT,50148,47,61,100,110,Entire home/apt,1
49,bright and stylish duplex,50846,48,11,365,115,Entire home/apt,1
50,Fort Greene brownstone ,52335,49,135,173,80,Private room,2
51,Blue Room for 2 in Brownstone for $1350 monthly,54275,50,112,114,80,Private room,3
52,Cozy 1BD on Central Park West in New York City,56094,51,73,63,151,Entire home/apt,1
53,* ORIGINAL BROOKLYN LOFT *,56104,52,82,225,228,Entire home/apt,1
54,Greenpoint Place...Has It All! ,56246,53,328,131,144,Entire home/apt,1
55,Beautiful Apartment in Manhattan!!!,56284,54,19,108,200,Entire home/apt,1
56,Williamsburg 1 bedroom Apartment,56512,55,105,335,150,Entire home/apt,1
57,"Great Location, Manhattan Bedroom!",59023,56,19,64,110,Private room,1
58,Best Location in NYC! TIMES SQUARE!,59734,57,289,71,69,Private room,2
59,Room in Greenpoint Loft w/ Roof,32169,58,138,45,49,Private room,3
60,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,59,21,211,180,Entire home/apt,1
61,"Very, very cozy place",60252,60,42,102,80,Private room,1
62,Sunny & Spacious Chelsea Apartment,60278,61,5,185,375,Entire home/apt,1
63,2 bedroom - Upper East Side-great for kids,61491,62,66,134,250,Entire home/apt,2
64,Comfortable 4-bedroom apt in family house.,63588,63,143,68,200,Entire home/apt,2
65,Double Room w Private Deck Clinton Hill Best Area,63613,64,27,73,55,Private room,2
66,Your Heaven in Hells Kitchen,63924,65,191,174,52,Private room,1
67,Light-filled 2B duplex in the heart of Park Slope!,64056,66,4,365,225,Entire home/apt,1
68,"Sunny, Modern room in East Village!",64442,67,338,293,80,Private room,2
69,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,68,148,3,275,Entire home/apt,1
70,Large Room in Amazing East Village Apt,4396,69,106,29,99,Private room,2
71,SpaHa Loft: Enormous and Bright,65837,70,190,150,225,Entire home/apt,1
72,Lovely EV Artist's Home,66035,71,49,249,230,Entire home/apt,1
73,Cool Room in Hell's Kitchen,66243,72,23,277,51,Private room,1
74,"HARLEM, NEW YORK WELCOMES YOU!!",68428,73,49,29,65,Private room,2
75,BLUE TRIM GUEST HOUSE,68599,74,105,61,105,Private room,1
76,Charming East Village One Bedroom Flat,69829,75,21,141,190,Entire home/apt,1
77,Manhattan Room,69942,76,142,43,200,Private room,1
78,Little King of Queens,70091,77,25,41,70,Private room,1
79,Fort Greene Retreat on the Park,71512,78,143,233,95,Private room,1
80,Beautiful Meatpacking District Loft,71876,79,167,70,150,Private room,1
81,Cozy 2 BR in Williamsburg ,72014,80,61,127,145,Private room,4
82,Spacious luminous apt Upper West NYC,73051,81,54,156,110,Entire home/apt,1
83,Entire 2 Bedroom - Large & Sunny,73128,82,70,37,285,Entire home/apt,1
84,"Sunny, Spacious Top Floor Haven",73469,83,16,327,130,Entire home/apt,1
85,Private room Great Deal at Lower East Side,44263,84,94,177,94,Private room,1
86,perfect for a family or small group,74303,85,25,358,800,Entire home/apt,1
87,2 bedroom Williamsburg Apt - Bedford L stop,74857,86,61,93,105,Entire home/apt,1
88,Oh glorious spring!,62407,87,194,339,60,Private room,1
89,Great Location for NYC,76627,88,2,365,50,Private room,1
90,Cozy Bedroom in Williamsburg 3 BR,72014,89,174,77,85,Private room,4
91,Sunny room+Pvte office in huge loft,961342,90,24,48,65,Private room,1
92,Spacious Prospect Heights Apartment,78460,91,166,158,131,Entire home/apt,1
93,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,92,16,180,98,Private room,6
94,2-bed brownstone duplex + garden,79070,93,21,207,250,Entire home/apt,1
95,Charming 1 bed GR8 WBurg LOCATION!,79402,94,168,365,100,Entire home/apt,1
96,Sunny Apartment in Artist Home,44145,95,118,356,105,Entire home/apt,2
97,Light-filled classic Central Park ,42032,96,81,167,140,Entire home/apt,1
98,"Upper Manhattan, New York",82685,97,1,0,89,Private room,1
99,COZY QUIET room 4 DOOGLERS!,83257,98,30,1,98,Private room,2
100,The Stuydio Modern and Light Filled,87773,99,139,54,125,Entire home/apt,2
101,loft bed - near transportation-15min to times sq,32294,100,11,146,60,Private room,3
102,House On Henry (3rd FLR Suite),11481,101,233,23,175,Entire home/apt,3
103,Monkey Retreat Manhattan,63318,102,68,53,65,Private room,1
104,2000 SF 3br 2bath West Village private  townhouse,93790,103,46,122,500,Entire home/apt,2
105,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,104,335,213,101,Private room,1
106,Beautiful Duplex Apartment,97797,105,88,356,220,Entire home/apt,1
107,Large 2 Bedroom Great for Groups!,87773,106,162,228,125,Entire home/apt,2
108,"Modern Brooklyn Apt., August sublet",105538,107,29,143,80,Entire home/apt,1
109,"1,800 sq foot in luxury building",107628,108,170,19,100,Private room,1
110,Sunny 2-story Brooklyn townhouse w deck and garden,109589,109,19,157,200,Entire home/apt,1
111,"Times Square, Safe, Clean and Cozy!",59734,110,334,86,59,Private room,2
112,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,111,19,115,125,Private room,6
113,Beautiful Apartment East Village,112793,112,12,201,140,Entire home/apt,1
114,Park Slope Green Guest House,42273,113,467,173,120,Entire home/apt,2
115,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,114,7,67,350,Entire home/apt,4
116,NYC fabulous views Manhattan's eye,115157,115,38,105,199,Entire home/apt,1
117,2 story family home in Williamsburg,115307,116,324,258,325,Entire home/apt,1
118,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,117,27,166,235,Entire home/apt,1
119,Great Large 1 BR apt  in East Village!,72062,118,115,66,225,Entire home/apt,4
120,Eveland Private Bed & Living Room w/ Own Entrance,118971,119,354,345,99,Private room,3
121,Sugar Hill Rest Stop ,119510,120,195,47,170,Entire home/apt,1
122,3 Story Town House in Park Slope,119588,121,16,149,400,Entire home/apt,2
123,apartment next to Central park,119900,122,13,141,170,Entire home/apt,1
124,East Village Sanctuary,120223,123,25,365,100,Entire home/apt,1
125,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,124,9,41,75,Private room,1
126,Modern Apt with Spectacular Views,6197784,125,9,120,90,Private room,1
127,Garden studio in the Upper East Sid,124352,126,21,176,150,Entire home/apt,1
128,Secluded Master Bedroom in Beautiful Huge Apt,124797,127,36,58,85,Private room,1
129,B & B Room 1,35935,128,63,55,70,Private room,2
130,ACCOMMODATIONS GALORE #1,126607,129,155,152,120,Entire home/apt,3
131,Sunny Room in New Condo,127608,130,260,87,89,Private room,1
132,Stylish & Sleek Apartment Near SoHo!,125857,131,73,156,185,Entire home/apt,1
133,NYC artists’ loft with roof deck,129352,132,193,365,50,Private room,1
134,Unique & Charming small 1br Apt. LES,120335,133,32,349,105,Entire home/apt,1
135,Most Central Location!,117287,134,50,131,130,Private room,3
136,Luminous Beautiful West Village Studio,135619,135,26,353,115,Entire home/apt,1
137,Sanctuary in East Flatbush,137292,136,2,187,77,Private room,1
138,Room with En Suite Bathroom & Deck,137814,137,426,90,76,Private room,3
139,FLAT MACDONOUGH,137974,138,227,202,125,Entire home/apt,2
140,Huge Private  Floor at The Waverly,116599,139,84,0,135,Private room,3
141,"Modern Greenpoint, Brooklyn Apt",138579,140,3,331,250,Entire home/apt,1
142,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,141,10,85,199,Entire home/apt,1
143,"Sunny, Cobble Hill Apartment",139874,142,4,365,140,Entire home/apt,1
144,Fully Furnished Basement Apartment,140025,143,1,364,140,Private room,1
145,FLAT MACDONOUGH GARDEN,137974,144,124,195,115,Entire home/apt,2
146,Light filled Williamsburg Apartment,142833,145,11,177,160,Entire home/apt,1
147,Retreat in Williamsburg,143027,146,240,151,195,Entire home/apt,1
148,NYC Zen,143048,147,30,117,195,Entire home/apt,1
149,Cozy BR in Wiliamsburg 3 Bedroom,72014,148,200,103,80,Private room,4
150,Sunny Room in Old Historical Brooklyn Townhouse,149929,149,27,85,44,Private room,5
151,Sun Filled Classic West Village Apt,120291,150,79,58,156,Private room,1
152,Lg Rm in Historic Prospect Heights,62165,151,9,26,85,Private room,1
153,Classic Artist Loft Williamsburg,142684,152,155,364,125,Private room,1
154,Great location. Spacious on PROSPECT PARK,137432,153,4,96,115,Entire home/apt,1
155,Private Bdrm/Bathrm. New! Elevator!,157798,154,34,355,69,Private room,1
156,"Sunny, clean 1 bdrm in W. Village",158284,155,134,53,225,Entire home/apt,1
157,Great location in Williamsburg,159370,156,27,176,125,Entire home/apt,1
158,Light and Airy Upper East Side 1 BDR apartment,92788,157,126,75,219,Entire home/apt,2
159,Luxury Brownstone in Boerum Hill,165789,158,23,135,475,Entire home/apt,1
160,CENTRAL PARK LOFT all for YOU,168417,159,234,201,99,Entire home/apt,2
161,Indie-Chic Share In Williamsburg,168525,160,202,312,69,Private room,2
162,"A room w/ a Manhattan view, longer stay",110506,161,28,239,79,Private room,1
163,"Private, Large & Sunny 1BR w/W&D",170510,162,309,362,135,Entire home/apt,2
164,Luxurious Condo in DUBMO with View,171851,163,14,176,250,Private room,1
165,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,164,4,0,250,Entire home/apt,1
166,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,165,80,365,250,Entire home/apt,1
167,Convenient cozy cheap apt Manhattan,181167,166,2,365,80,Entire home/apt,1
168,Parlor Room In Victorian Townhouse,137814,167,294,29,70,Private room,3
169,House On Henry (2nd FLR Suite),11481,168,150,23,165,Entire home/apt,3
170,New York room with a view,185978,169,166,53,70,Private room,1
171,Sunny cozy room in Brklyn townhouse,177536,170,47,328,50,Private room,1
172,Room with a View,190409,171,219,12,40,Private room,3
173,Light+Open+Airy+Rustic+Modern Loft,193360,172,193,188,150,Entire home/apt,1
174,West Inn 2 - East Village,72062,173,84,55,125,Private room,4
175,Financial District Luxury Loft,193722,174,114,365,196,Entire home/apt,1
