name
Rob Cohen
Warren P. Sonoda
Rick Friedberg
Uli Edel
Francis Ford Coppola
David Koepp
Kathryn Bigelow
Richard Claus
Mike Nichols
John Huston
Charles Burnett
Rob Zombie
Roy Allen Smith
John Hough
Richard Fleischer
Andrzej Bartkowiak
John Sturges
Carroll Ballard
Franc. Reyes
Je-gyu Kang
Joel Schumacher
Thomas Hefferon
Ron Howard
Pierre Morel
Mark Schmidt
Stephen Herek
Lin Oeding
Steven Soderbergh
Roy William Neill
John Stevenson
Chuck Russell
Stanley Kubrick
Roger Allers
Jon Hewitt
Sylvain White
Lance Hool
Bong Joon Ho
Roger Corman
Michael Chapman
Evan Glodell
John Carlos Frey
Richard Donner
Don Siegel
Chris Noonan
Clint Eastwood
Anthony Russo
Pete Travis
Raoul Walsh
Ishir Honda
Wolfgang Petersen
Robert Stevenson
Bryan Spicer
John Moore (VIII)
Jonathan Frakes
Shawn Levy
Bruce MacDonald
Michael Bay
Phillip Noyce
Ask Hasselbalch
Kevin Costner
Luis Mandoki
Petter Naess
Robert Rodriguez
Tom Hammock
Chalerm Wongpim
Nicolas Roeg
Fred Newmeyer
James Fargo
Sam Peckinpah
Paul McGuigan
Aaron I. Naar
Quentin Tarantino
Marc Forster
Bruce Malmuth
Yoshihiro Nishimura
Sunny Luk
Buddy Van Horn
Thor Freudenthal
Irwin Allen
Scott Frank
Tao Ruspoli
Joe Lynch (V)
Wuershan
Douglas Hickox
Jeannot Szwarc
Stephen Fung
Jonathan Levine
William A. Kirkley
Andy Tennant
Guy Hamilton
Timo Tjahjanto
Paul W.S. Anderson
Charles Jarrott
Richard T. Heffron
Sergio Leone
Ciro Guerra
James Goldstone
Robert Zemeckis
Camille Delamarre
Ric Roman Waugh
Robin Campillo
Richard Brooks
Teddy Chan
Jeff Wadlow
Alex Kurtzman
George Miller
Wes Anderson
Ryan Coogler
John Woo
Bob Hathcock
Xavier Gens
Steve Martino
Lee Tamahori
Peter Farrelly
Paul Abascal
Basil Dearden
Ron Clements
Blake Edwards
Fran Rubel Kuzui
Joe Johnston
Henry Hathaway
Jerry London
David Carson
Elio Petri
Matthew Vaughn
David Mamet
Dianne Jackson
Vernon Layton
Joe Gazzam
Rob W. King
Dwight Yoakam
Robert Berlinger
Mateo Gil
Dean Cundey
Gordon Hessler
Charles T. Kanganis
Edward Zwick
Eran Creevy
Keith Gordon
Troy Duffy
John Lasseter
Delmer Daves
Joe Wright
Jos Padilha
Ted Berman
James B. Clark
Peter Antonijevic
Sheng Ding
Martha Stephens
Kevin Reynolds
Hark Tsui
Jack Cardiff
Tony Scott
Sean Brenden Brosnan
Woo-ping Yuen
Michael Powell
Jeong-beom Lee
James DeMonaco
Philipp Stlzl
Walter Hill
Benny Chan
Mark Neveldine
James Mark
Philip Martin
Rian Johnson
Byron Howard
Sydney Pollack
Michael Apted
Steven S. DeKnight
Sean McNamara
Oz Scott
Bob Spiers
Renny Harlin
Norman Taurog
Boaz Yakin
Steve De Jarnatt
Jack Perez
Zack Snyder
Nils Gaup
Carl Schenkel
Barry Levinson
Kevin Allen
Yann Demange
Isaac Florentine
Don Bluth
Joseph Zito
Andrew Dominik
P.J. Pesce
John Leekley
Michael Dinner
Stan Lathan
Peter Hewitt
Kevin Bray
Andrew Morahan
Max Adams
Roland Emmerich
Uwe Boll
William Wellman
Charles Band
Akira Kurosawa
Fernando Meirelles
Pou-Soi Cheang
Peyton Reed
Baltasar Kormkur
Yves Robert
Jimmy Huston
Duncan Jones
Paul Devlin
Jen Soska
Hsiao-hsien Hou
Michael Ritchie
Bill Duke
Peter Berg
John Boorman
Neil Marshall
Sidney Lumet
Jean-Jacques Annaud
Stiles White
Tana Schmbori
Ken Annakin
Jeb Stuart
Evelyn Purcell
Warren Beatty
Bill Bixby
Joseph Kosinski
Peter Jackson
Andrei Popov
Yoon Hong-Seung
John Glen
Stuart Townsend
Wes Craven
Stephen Hopkins
Hua Shan
Martin Ritt
David Lean
James Cameron
James Yukich
Takeshi Nozue
Brad Furman
Manuel Sicilia
Guy Ritchie
Scott Cooper
Fred Schepisi
Richard Haines
Kar-Wai Wong
Ronald Neame
Conrad Vernon
Dante Lam
Yoji Yamada
Kazuo Mori
Nima Nourizadeh
Ho Meng-hua
Joseph Garner
Rodrigo Garca
J.A. Bayona
David Ayer
Peter Hyams
David Lynch
Ringo Lam
Bjrn Stein
Jake Kasdan
Stephen Daldry
