id,tagname,count,excerptpostid,wikipostid,jsonfield
1,hops,17,5062,5061,
2,history,85,7872,7871,
4,brewing,69,4880,4879,
5,serving,37,5109,5108,
6,temperature,31,304,303,
7,pilsener,4,,,
9,inebriation,4,,,
10,ale,15,5122,5121,
11,lager,16,5040,5039,
12,breweries,56,7878,7877,
14,retail-availiability,3,,,
15,distribution,14,,,
16,mulling,3,5142,5141,
17,ipa,24,619,618,
18,hangover,9,,,
19,carbonation,12,,,
20,drinking,40,7896,7895,
21,draught,11,,,
22,bottling,13,5116,5115,
23,storage,64,615,614,
24,glassware,27,5107,5106,
26,aroma,4,,,
27,imperal-stout,5,5140,5139,
28,terminology,24,7392,7391,
30,growlers,8,393,392,
31,porter,8,,,
32,stout,18,391,390,
33,ingredients,48,7894,7893,
34,saison,3,424,423,
35,age,9,,,
36,varieties,5,,,
37,aging,24,5120,5119,
38,abv,11,613,612,
40,health,59,285,284,
41,water,4,,,
42,taste,120,283,282,
43,yeast,17,956,955,
44,pouring,8,,,
48,skunking,4,5152,5151,
49,3.2-beer,2,848,847,
51,local,25,308,307,
54,pairing,44,450,449,
56,buying,12,,,
59,bottle-conditioning,7,,,
60,cellaring,4,302,301,
61,freshness,8,,,
63,style,36,617,616,
66,garnish,2,,,
69,preparation-for-drinking,11,,,
71,classification,11,,,
75,specialty-beers,60,7874,7873,
76,trappist,17,5124,5123,
77,lambic,3,5148,5147,
79,preservation,10,,,
82,alcohol-level,28,7900,7899,
83,laws,26,7898,7897,
84,poland,1,281,280,
86,keg,12,5146,5145,
87,cicerone,3,,,
88,restaurants,4,,,
94,gas,3,,,
96,ibu,5,2132,2131,
97,production,8,,,
98,schwarzbier,2,306,305,
103,competition,3,,,
109,cooking,10,,,
110,nutrition,10,,,
120,non-alcoholic,19,,,
125,head,6,504,503,
127,colour,6,,,
129,shandy,2,5150,5149,
130,german-beers,19,5114,5113,
132,united-states,11,,,
133,bottles,16,5118,5117,
134,foam,7,,,
136,cans,9,5136,5135,
137,additives,4,,,
138,resources,3,,,
140,filtering,4,,,
142,recommendations,78,7876,7875,
144,finings,2,593,592,
153,hefeweizen,5,5144,5143,
155,flavor,41,3271,3270,
158,pennsylvania,4,923,922,
166,cooling,5,,,
167,fermentation,13,7086,7085,
168,liquor,19,7904,7903,
170,malt,2,3426,3425,
172,micropub,7,,,
175,beer-cocktails,9,5138,5137,
176,science,8,,,
181,deposit,1,5129,5128,
182,cider,7,4860,4859,
184,imperial-ipa,3,5133,5132,
186,wine,137,7870,7869,
188,tequila,9,5053,5052,
189,scotch,19,5131,5130,
190,sake,7,5055,5054,
192,red-wine,29,5017,5016,
193,whiskey,55,5049,5048,
194,bourbon,9,5051,5050,
200,cocktails,46,5105,5104,
201,vodka,16,5111,5110,
202,gin,14,5103,5102,
204,craft-beers,30,7902,7901,
208,belgian-beers,9,,,
211,germany,3,,,
213,distillation,12,6445,6444,
214,spirits,52,7892,7891,
215,mead,10,6251,6250,
217,sour-beer,3,,,
220,occasions,3,,,
231,distilleries,6,,,
237,bartending,5,,,
239,holidays,7,,,
240,absinthe,5,7802,7801,
244,prohibition,4,,,
250,home-brew,13,,,
253,tradition,7,,,
256,mixers,7,,,
259,liqueur,13,8005,8004,
262,price,8,8013,8012,
263,alcohol,28,,,
265,drink,24,7906,7905,
273,substitutions,4,,,
276,differences,5,,,
280,quality,9,,,
283,identification,5,,,
286,canada,5,,,
287,europe,4,,,
295,consumption,2,,,
301,champagne,9,,,
304,rum,11,,,
306,singapore,2,,,
307,australia,5,,,
308,dubbel,3,,,
309,tripel,4,,,
314,online,2,7506,7505,
324,barrels,2,,,
326,whisky,9,7987,7986,
328,home-brewing,4,,,
329,layered-drinks,3,,,
335,brittany,2,,,
336,france,2,,,
337,cognac,3,,,
339,brazil,2,,,
342,mushrooms,1,8011,8010,
343,recipes,6,,,
349,gluten-free,2,,,
361,palcohol,2,,,
371,decanter,1,,,
372,shape,1,,,
