id,postid,votetypeid,userid,creationdate,bountyamount,jsonfield
1,1,2,,2014-01-21 00:00:00,,
2,1,2,,2014-01-21 00:00:00,,
3,4,2,,2014-01-21 00:00:00,,
4,1,2,,2014-01-21 00:00:00,,
5,4,2,,2014-01-21 00:00:00,,
6,3,2,,2014-01-21 00:00:00,,
7,4,2,,2014-01-21 00:00:00,,
8,1,2,,2014-01-21 00:00:00,,
9,8,2,,2014-01-21 00:00:00,,
10,6,2,,2014-01-21 00:00:00,,
11,3,2,,2014-01-21 00:00:00,,
12,15,2,,2014-01-21 00:00:00,,
13,14,2,,2014-01-21 00:00:00,,
14,8,2,,2014-01-21 00:00:00,,
15,8,2,,2014-01-21 00:00:00,,
16,8,2,,2014-01-21 00:00:00,,
17,18,2,,2014-01-21 00:00:00,,
18,22,2,,2014-01-21 00:00:00,,
19,19,2,,2014-01-21 00:00:00,,
20,5,2,,2014-01-21 00:00:00,,
21,18,2,,2014-01-21 00:00:00,,
22,7,16,,2014-01-21 00:00:00,,
23,13,16,,2014-01-21 00:00:00,,
24,11,2,,2014-01-21 00:00:00,,
25,2,2,,2014-01-21 00:00:00,,
26,22,2,,2014-01-21 00:00:00,,
27,7,2,,2014-01-21 00:00:00,,
28,22,2,,2014-01-21 00:00:00,,
29,18,2,,2014-01-21 00:00:00,,
30,2,2,,2014-01-21 00:00:00,,
31,12,2,,2014-01-21 00:00:00,,
32,5,2,,2014-01-21 00:00:00,,
33,19,2,,2014-01-21 00:00:00,,
34,22,2,,2014-01-21 00:00:00,,
35,25,16,,2014-01-21 00:00:00,,
36,22,2,,2014-01-21 00:00:00,,
37,13,2,,2014-01-21 00:00:00,,
38,2,2,,2014-01-21 00:00:00,,
39,19,2,,2014-01-21 00:00:00,,
40,5,2,,2014-01-21 00:00:00,,
41,5,2,,2014-01-21 00:00:00,,
42,19,2,,2014-01-21 00:00:00,,
43,22,2,,2014-01-21 00:00:00,,
44,26,2,,2014-01-21 00:00:00,,
45,25,2,,2014-01-21 00:00:00,,
46,30,3,,2014-01-21 00:00:00,,
47,18,2,,2014-01-21 00:00:00,,
48,7,16,,2014-01-21 00:00:00,,
49,15,2,,2014-01-21 00:00:00,,
50,22,2,,2014-01-21 00:00:00,,
51,8,2,,2014-01-21 00:00:00,,
52,18,2,,2014-01-21 00:00:00,,
53,26,2,,2014-01-21 00:00:00,,
54,33,2,,2014-01-21 00:00:00,,
55,1,2,,2014-01-21 00:00:00,,
56,22,2,,2014-01-21 00:00:00,,
57,4,2,,2014-01-21 00:00:00,,
58,31,2,,2014-01-21 00:00:00,,
59,16,2,,2014-01-21 00:00:00,,
60,31,2,,2014-01-21 00:00:00,,
61,33,2,,2014-01-21 00:00:00,,
62,31,2,,2014-01-21 00:00:00,,
63,19,2,,2014-01-21 00:00:00,,
64,32,2,,2014-01-21 00:00:00,,
65,19,1,,2014-01-21 00:00:00,,
66,22,2,,2014-01-21 00:00:00,,
67,26,2,,2014-01-21 00:00:00,,
68,44,2,,2014-01-21 00:00:00,,
69,7,2,,2014-01-21 00:00:00,,
70,33,2,,2014-01-21 00:00:00,,
71,42,2,,2014-01-21 00:00:00,,
72,27,2,,2014-01-21 00:00:00,,
73,45,2,,2014-01-21 00:00:00,,
75,29,2,,2014-01-21 00:00:00,,
76,44,2,,2014-01-21 00:00:00,,
77,22,2,,2014-01-21 00:00:00,,
78,39,2,,2014-01-21 00:00:00,,
79,43,2,,2014-01-21 00:00:00,,
80,41,2,,2014-01-21 00:00:00,,
81,15,2,,2014-01-21 00:00:00,,
82,2,2,,2014-01-21 00:00:00,,
83,33,2,,2014-01-21 00:00:00,,
84,48,2,,2014-01-21 00:00:00,,
85,44,2,,2014-01-21 00:00:00,,
86,32,2,,2014-01-21 00:00:00,,
87,30,3,,2014-01-21 00:00:00,,
88,27,2,,2014-01-21 00:00:00,,
